S.No,TestName,Component,Priority,Team,User,OldTag,NewTag,FilePath
34,test_ALM159643_MovedAmountsButtonIsDisabledForManagerWithFAPOnEmployeeTimecard,TK_Regression_MoveAmount_Selenium_Part1,P1,Patriots,Vikash,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\moveamount\TK_Regression_MoveAmount_Selenium_Part1\test_ALM159643_MovedAmountsButtonIsDisabledForManagerWithFAPOnEmployeeTimecard.spec.ts
35,test_ALM159533_MovedAmountsButtonDisabledForManagerWithFAPOnEmployeeTimecardWithoutMoveAmount,TK_Regression_MoveAmount_Selenium_Part1,P1,Patriots,Vikash,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\moveamount\TK_Regression_MoveAmount_Selenium_Part1\test_ALM159533_MovedAmountsButtonDisabledForManagerWithFAPOnEmployeeTimecardWithoutMoveAmount.spec.ts
36,test_ALM158886_VerifyViewMovedAmountButtonNotDisplayedForEmployeeWithoutFAPOnHisProjectTimecard,TK_Regression_MoveAmount_Selenium_Part1,P1,Patriots,Mohit,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\moveamount\TK_Regression_MoveAmount_Selenium_Part1\test_ALM158886_VerifyViewMovedAmountButtonNotDisplayedForEmployeeWithoutFAPOnHisProjectTimecard.spec.ts
37,test_ALM158882_VerifyViewMovedAmountButtonNotDisplayedForEmployeeWithoutFAPOnHisHourlyTimecard,TK_Regression_MoveAmount_Selenium_Part1,P1,Patriots,Mohit,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\moveamount\TK_Regression_MoveAmount_Selenium_Part1\test_ALM158882_VerifyViewMovedAmountButtonNotDisplayedForEmployeeWithoutFAPOnHisHourlyTimecard.spec.ts
38,test_ALM158823_VerifyViewMoveAmountsButtonDisplayedForProjectEmployeeTimecard,TK_Regression_MoveAmount_Selenium_Part1,P1,Patriots,Mohit,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\moveamount\TK_Regression_MoveAmount_Selenium_Part1\test_ALM158823_VerifyViewMoveAmountsButtonDisplayedForProjectEmployeeTimecard.spec.ts
39,test_ALM158820_VerifyViewMoveAmountsButtonDisplayedForHourlyEmployeeTimecard,TK_Regression_MoveAmount_Selenium_Part1,P1,Patriots,Mohit,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\moveamount\TK_Regression_MoveAmount_Selenium_Part1\test_ALM158820_VerifyViewMoveAmountsButtonDisplayedForHourlyEmployeeTimecard.spec.ts
40,test_ALM158813_VerifyViewMoveAmountsButtonDisplayedForHourlyTimecard,TK_Regression_MoveAmount_Selenium_Part1,P1,Patriots,Mohit,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\moveamount\TK_Regression_MoveAmount_Selenium_Part1\test_ALM158813_VerifyViewMoveAmountsButtonDisplayedForHourlyTimecard.spec.ts
41,test_ALM58872_EmployeeIsNotAbleToViewDurationPayCodeInProjectTimecard,TK_Regression_Paycode_ComplexPayCodes_Selenium_Part1,P1,Quest,Ayushi,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\timecardview\TK_Regression_Paycode_ComplexPayCodes_Selenium_Part1\test_ALM58872_EmployeeIsNotAbleToViewDurationPayCodeInProjectTimecard.spec.ts
42,test_ALM62835_DisplayTimeVerifyTimecardLoadedTimeProjectView,TK_Regression_ProjectTimecard_Selenium_Part1,P1,Patriots,Naman,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\projecttimecard\TK_Regression_ProjectTimecard_Selenium_Part1\test_ALM62835_DisplayTimeVerifyTimecardLoadedTimeProjectView.spec.ts
43,test_ALM62834_DisplayTimeVerifyTimecardLoadedTimeOnSaveProjectView,TK_Regression_ProjectTimecard_Selenium_Part1,P1,Patriots,Naman,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\projecttimecard\TK_Regression_ProjectTimecard_Selenium_Part1\test_ALM62834_DisplayTimeVerifyTimecardLoadedTimeOnSaveProjectView.spec.ts
44,test_ALM62832_DisplayTimeVerifyTimecardLoadedTimeOnCalcTotalsProjectView,TK_Regression_ProjectTimecard_Selenium_Part1,P1,Patriots,Naman,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timekeeping\projecttimecard\TK_Regression_ProjectTimecard_Selenium_Part1\test_ALM62832_DisplayTimeVerifyTimecardLoadedTimeOnCalcTotalsProjectView.spec.ts
